ES-003 - LAS CUCHILLAS
Sistematización de Hatos
Software GANADERO SG - Reportes Personalizados
Número = Número del Animal              Nombre = Nombre              E.Mes = Edad en meses              E. Años = Edad en años              Edad Año - Mes = Edad Año - Mes - día
EA = Estado actual              #C = Total Crías              #P = Total Partos              # Abortos = Total Abortos              F.Últ.Par = Fecha último parto
F. P. P = Fecha próximo parto
Actualizado a: 05/02/26 Impresión: 09/02/26 04:06:43 PM
Hojas incluidas: 57988969
Hoja;Número;Nombre;E.Mes;E. Años;Edad Año - Mes;EA;#C;#P;# Abortos;F.Últ.Par;Gest.;F. Preñ;Estado reprod.;TPreñez;D.Ab;F. P. P
57988969;003388176;00338817;116;9.7;09a 08m 21d;VP;5;5;0;2024-11-18 00:00:00;294;2025-04-21;Preñada;MN;154;2026-01-31
57988969;003390584;00339058;112;9.4;09a 04m 13d;VP;3;3;0;2025-07-31 00:00:00;131;2025-10-01;Preñada;MN;62;2026-07-13
57988969;003390698;00339069;110;9.2;09a 02m 09d;VP;3;3;1;2024-11-11 00:00:00;251;2025-06-03;Preñada;MN;204;2026-03-15
57988969;003888825;00388882;106;8.8;08a 09m 27d;VP;4;4;0;2025-08-10 00:00:00;86;2025-11-15;Preñada;MN;97;2026-08-27
57988969;003888840;00388884;105;8.8;08a 09m 03d;VP;4;4;0;2025-11-30 00:00:00;0;-   -;Vacía;;71;-   -
57988969;003889141;00388914;104;8.7;08a 08m 07d;VP;5;5;0;2025-12-21 00:00:00;0;-   -;Vacía;;50;-   -
57988969;003889184;00388918;104;8.7;08a 07m 28d;VP;4;4;0;2025-07-05 00:00:00;161;2025-09-01;Preñada;MN;58;2026-06-13
57988969;003906269;00390626;109;9.1;09a 01m 09d;VP;4;4;0;2025-12-05 00:00:00;0;-   -;Vacía;;66;-   -
57988969;003906588;00390658;106;8.8;08a 09m 28d;VP;3;3;0;2025-06-18 00:00:00;0;-   -;Vacía;;236;-   -
57988969;003906682;00390668;104;8.7;08a 08m 21d;VP;5;5;0;2026-01-08 00:00:00;0;-   -;Vacía;;32;-   -
57988969;003906703;00390670;104;8.7;08a 08m 09d;VP;4;4;0;2025-08-01 00:00:00;0;-   -;Vacía;;192;-   -
57988969;003906722;00390672;103;8.7;08a 07m 23d;VP;4;4;0;2025-06-03 00:00:00;101;2025-10-31;Preñada;IATF;150;2026-08-12
57988969;003906727;00390672;103;8.6;08a 07m 13d;VP;4;4;0;2025-08-13 00:00:00;101;2025-10-31;Preñada;MN;79;2026-08-12
57988969;004301933;00173876;93.8;7.8;07a 09m 20d;VP;4;4;0;2026-02-02 00:00:00;0;-   -;Vacía;;7;-   -
57988969;004302189;00194522;88.2;7.4;07a 04m 04d;VP;3;3;0;2025-08-11 00:00:00;0;-   -;Vacía;;182;-   -
57988969;004425713;00442571;97.4;8.1;08a 01m 09d;VP;4;4;0;2025-11-20 00:00:00;0;-   -;Vacía;;81;-   -
57988969;004425756;8-01-039;88.6;7.4;07a 04m 14d;VP;3;3;0;2025-07-15 00:00:00;0;-   -;Vacía;;209;-   -
57988969;004426056;8-11-013;87.1;7.3;07a 02m 29d;VP;3;3;0;2025-07-25 00:00:00;71;2025-11-30;Preñada;MN;128;2026-09-11
57988969;004426057;8-03-016;88.6;7.4;07a 04m 14d;VP;3;3;0;2025-09-03 00:00:00;0;-   -;Vacía;;159;-   -
57988969;004426113;8-04-036;93.7;7.8;07a 09m 18d;VP;3;3;0;2026-01-01 00:00:00;0;-   -;Vacía;;39;-   -
57988969;004426594;8-05-057;86;7.2;07a 01m 27d;VP;2;2;0;2025-01-17 00:00:00;101;2025-10-31;Preñada;MN;287;2026-08-12
57988969;004426606;8-06-003;86;7.2;07a 01m 27d;VS;3;3;0;2025-05-06 00:00:00;71;2025-11-30;Preñada;IATF;208;2026-09-11
57988969;004426608;8-06-005;83.1;6.9;06a 10m 29d;VP;3;3;0;2025-06-01 00:00:00;161;2025-09-01;Preñada;IATF;92;2026-06-13
57988969;004426612;8-06-009;83.1;6.9;06a 10m 29d;VP;3;3;0;2025-12-02 00:00:00;0;-   -;Vacía;;69;-   -
57988969;004426668;8-07-030;83.1;6.9;06a 10m 29d;VP;3;3;0;2025-12-17 00:00:00;0;-   -;Vacía;;54;-   -
57988969;004426677;8-07-039;83.1;6.9;06a 10m 29d;VP;3;3;0;2025-12-31 00:00:00;0;-   -;Vacía;;40;-   -
57988969;006421565;00388888;77.4;6.5;06a 05m 10d;VP;3;3;0;2025-05-11 00:00:00;161;2025-09-01;Preñada;IATF;113;2026-06-13
57988969;006820058;00390634;75.2;6.3;06a 03m 03d;VP;3;3;0;2025-08-12 00:00:00;101;2025-10-31;Preñada;MN;80;2026-08-12
57988969;006820079;00194525;75.2;6.3;06a 03m 03d;VP;3;3;0;2025-01-28 00:00:00;251;2025-06-03;Preñada;MN;126;2026-03-15
57988969;007428699;LA TRIST;61.7;5.1;05a 01m 21d;VP;1;1;0;2025-01-13 00:00:00;86;2025-11-15;Preñada;IATF;306;2026-08-27
57988969;007428761;4-03-046;135;11.3;11a 02m 27d;VS;6;6;0;2025-03-27 00:00:00;161;2025-09-01;Preñada;MN;158;2026-06-13
57988969;007428770;00208922;90.2;7.5;07a 06m 02d;VP;1;1;1;2024-04-19 00:00:00;221;2025-07-03;Preñada;MN;440;2026-04-14
57988969;007428843;00390675;102;8.6;08a 06m 18d;VP;4;4;0;2026-01-04 00:00:00;0;-   -;Vacía;;36;-   -
57988969;007428846;00388888;104;8.7;08a 08m 20d;VP;4;4;0;2025-11-30 00:00:00;0;-   -;Vacía;;71;-   -
57988969;007428857;00148199;142;11.8;11a 09m 24d;VP;3;3;0;2024-12-07 00:00:00;71;2025-11-30;Preñada;IATF;358;2026-09-11
57988969;007428868;LA COQUE;153;12.8;12a 09m 15d;VP;7;7;0;2024-12-22 00:00:00;191;2025-08-02;Preñada;MN;223;2026-05-14
57988969;007428871;00148209;139;11.6;11a 07m 04d;VP;7;7;0;2025-07-19 00:00:00;161;2025-09-01;Preñada;MN;44;2026-06-13
57988969;007428925;LA GRAND;140;11.7;11a 07m 27d;VP;7;7;0;2024-10-31 00:00:00;221;2025-07-03;Preñada;MN;245;2026-04-14
