ES-005 - LOS CARBONALES
Sistematización de Hatos
Software GANADERO SG - Reportes Personalizados
Número = Número del Animal              Nombre = Nombre              E.Mes = Edad en meses              E. Años = Edad en años              Edad Año - Mes = Edad Año - Mes - día
EA = Estado actual              DPar = Días Parida              #C = Total Crías              #P = Total Partos              # Abortos = Total Abortos
D.Ab = Días abiertos              F. P. P = Fecha próximo parto              UIEP = Último intervalo entre partos              DEL = Días lactando
Actualizado a: 05/01/26 Impresión: 03/02/26 10:24:31 AM
No.;Número;Nombre;E.Mes;E. Años;Edad Año - Mes;EA;DPar;#C;#P;# Abortos;F.Últ.Par;Gest.;F. Preñ;Estado reprod.;TPreñez;D.Ab;F. P. P;UIEP
1;003390613;00339061;111;9.3;09a 03m 12d;VP;29;6;6;0;2026-01-05;0;;Vacía;;29;;440
2;003390625;00339062;111;9.3;09a 03m 12d;VP;209;5;5;0;2025-07-09;0;;Vacía;;209;;552
3;003390647;00339064;111;9.3;09a 03m 03d;VP;162;4;4;0;2025-08-25;0;;Vacía;;162;;553
4;003888755;00388875;107;8.9;08a 11m 01d;VP;67;5;5;0;2025-11-28;0;;Vacía;;67;;403
5;003888855;00388885;109;9.1;09a 01m 02d;VP;412;4;4;0;2024-12-18;0;2025-09-30;Preñada;IATF;412;2026-06-30;443
6;003888862;00388886;104;8.7;08a 08m 25d;VP;57;5;5;0;2025-12-08;0;;Vacía;;57;;427
7;003889346;00388934;98.9;8.2;08a 02m 23d;VP;227;3;3;0;2025-06-21;0;2025-09-30;Preñada;MN;227;2026-06-30;569
8;003889391;00061955;96.5;8;08a 00m 12d;VP;157;3;3;0;2025-08-30;0;;Vacía;;157;;528
9;003889400;00194459;95.8;8;07a 11m 19d;VP;593;3;3;0;2024-06-20;241;2025-06-07;Preñada;MN;352;2026-03-22;454
10;003889411;00148398;94.9;7.9;07a 10m 24d;VP;270;2;2;1;2025-05-09;0;2025-11-25;Preñada;MN;270;2026-07-30;122
11;003906181;00388936;98.1;8.2;08a 02m 00d;VS;0;5;5;0;2024-06-21;349;2025-02-19;Preñada;MN;243;2025-12-04;339
12;003906316;00390631;107;9;08a 11m 09d;VP;458;5;5;0;2024-11-02;241;2025-06-07;Preñada;MN;217;2026-03-22;410
13;003907344;7-10-005;99.8;8.3;08a 03m 21d;VP;605;3;3;0;2024-06-08;275;2025-05-04;Preñada;MN;330;2026-02-16;643
14;003907353;7-12-030;97.9;8.2;08a 01m 25d;VP;196;5;5;0;2025-07-22;0;;Vacía;;196;;399
15;004301913;00194452;94.6;7.9;07a 10m 15d;VP;441;3;3;0;2024-11-19;0;;Vacía;;441;;599
16;004301954;00031977;92.9;7.7;07a 08m 24d;VP;413;3;3;0;2024-12-17;241;2025-06-07;Preñada;MN;172;2026-03-22;565
