ES-007 - MONTE FRESCO
Sistematización de Hatos
Software GANADERO SG - Reportes Personalizados
Número = Número del Animal              Nombre = Nombre              E.Mes = Edad en meses              E. Años = Edad en años              Edad Año - Mes = Edad Año - Mes - día
EA = Estado actual              #C = Total Crías              #P = Total Partos              # Abortos = Total Abortos              F.Últ.Par = Fecha último parto
F. P. P = Fecha próximo parto
Actualizado a: 05/02/26 Impresión: 09/02/26 05:25:12 PM
Número;Nombre;E.Mes;E. Años;Edad Año - Mes;EA;#C;#P;# Abortos;F.Últ.Par;Gest.;F. Preñ;Estado reprod.;TPreñez;D.Ab;F. P. P
003889392;MARIA CR;78.4;6.5;06a 06m 08d;VP;3;3;0;2024-12-17;191;2025-08-02;Preñada;MN;228;2026-05-14
003889407;LA TINIT;147;12.3;12a 03m 00d;VP;6;6;0;2025-11-29;0;;Vacía;;72;
003906653;LA CHING;105;8.8;08a 09m 11d;VP;3;3;0;2025-11-20;0;;Vacía;;81;
003906656;LA TOÑA;105;8.8;08a 09m 11d;VS;2;2;0;2024-11-16;191;2025-08-02;Preñada;MN;259;2026-05-14
003907326;LA PARCH;100;8.4;08a 04m 17d;VP;3;3;0;2025-01-08;221;2025-07-03;Preñada;MN;176;2026-04-14
003907328;LA NOBLE;100;8.4;08a 04m 17d;VP;3;3;0;2025-06-22;131;2025-10-01;Preñada;MN;101;2026-07-13
003907334;SOMBRA D;100;8.4;08a 04m 11d;VP;4;4;0;2025-11-04;0;;Vacía;;97;
003907381;LA PAJAR;98.9;8.2;08a 02m 24d;VP;4;4;0;2026-01-25;0;;Vacía;;15;
003907384;LA PESCU;98.9;8.2;08a 02m 24d;VP;3;3;0;2024-12-17;251;2025-06-03;Preñada;MN;168;2026-03-15
004301992;LA YONI;154;12.9;12a 10m 07d;VP;6;6;0;2025-12-25;0;;Vacía;;46;
004302030;00430198;91.2;7.6;07a 07m 02d;VP;4;4;0;2025-11-14;0;;Vacía;;87;
004302037;LA PICHI;91;7.6;07a 06m 27d;VS;3;3;0;2024-11-14;101;2025-10-31;Preñada;MN;351;2026-08-12
004302065;LA ANGEL;89.9;7.5;07a 05m 23d;VS;3;3;0;2025-06-05;0;;Vacía;;249;
004302111;LA GRING;89.1;7.4;07a 05m 01d;VS;2;2;1;2024-11-11;191;2025-08-02;Preñada;MN;264;2026-05-14
004302115;LA ANGUS;89.1;7.4;07a 04m 29d;VS;2;2;0;2024-06-12;161;2025-09-01;Preñada;MN;446;2026-06-13
004302156;LA SANAT;88.6;7.4;07a 04m 14d;VS;2;2;0;2024-11-15;131;2025-10-01;Preñada;MN;320;2026-07-13
004302163;LA CHAQU;88.5;7.4;07a 04m 11d;VS;3;3;0;2024-11-15;221;2025-07-03;Preñada;MN;230;2026-04-14
004302194;LA CALAB;87.1;7.3;07a 03m 00d;VS;3;3;0;2024-11-19;161;2025-09-01;Preñada;MN;286;2026-06-13
