ES-001 - PRIMERO DE MAYO
Sistematización de Hatos
Software GANADERO SG
Finca: Primero de mayo
Palpación de vacas 27-28/Enero 2026
N;Número;Nombre;E.Mes;E. Años;Edad Año - Mes;EA;DPar;#C;#P;# Abortos;F.Últ.Par;Gest.;F. Preñ;Estado reprod.;TPreñez;DS;D.Ab;F. P. P;UIEP
1;000695729;3-12-019;146;12.2;12a 01m 26d;VS;0;8;8;0;2025-01-16;182;2025-08-07;Preñada;IA;182;203;2026-05-19;450
2;000695744;3-12-034;145;12.1;12a 01m 17d;VP;367;7;7;0;2025-02-03;99;2025-10-29;Preñada;MN;0;268;2026-08-10;335
3;000695770;3-12-060;145;12.1;12a 01m 06d;VP;391;6;6;0;2025-01-10;159;2025-08-30;Preñada;MN;0;232;2026-06-11;454
4;000695803;4-01-018;144;12.1;12a 00m 25d;VP;93;6;6;0;2025-11-04;0;;Vacía;;0;93;;367
5;000696530;4-01-035;144;12;12a 00m 11d;VP;45;7;7;0;2025-12-22;0;;Vacía;;0;45;;403
6;000696533;4-01-038;144;12;12a 00m 05d;VP;14;7;7;0;2026-01-22;0;;Vacía;;0;14;;430
7;000696565;4-02-009;144;12;11a 11m 27d;VP;67;7;7;0;2025-11-30;0;;Vacía;;0;67;;456
8;000696576;4-02-020;143;12;11a 11m 20d;VP;237;7;7;0;2025-06-13;99;2025-10-29;Preñada;MN;0;138;2026-08-10;326
9;000696619;4-03-002;143;11.9;11a 10m 28d;VS;0;6;6;1;2025-06-18;99;2025-10-29;Preñada;MN;0;133;2026-08-10;466
10;001482016;4-04-038;141;11.8;11a 09m 05d;VP;239;6;6;0;2025-06-11;0;;Vacía;;0;239;;755
11;001482026;4-05-009;140;11.7;11a 08m 23d;VP;94;6;6;0;2025-11-03;0;;Vacía;;0;94;;503
12;001482085;4-06-036;139;11.6;11a 07m 11d;VP;53;7;7;0;2025-12-14;0;;Vacía;;0;53;;407
13;001482122;4-07-029;138;11.5;11a 06m 10d;VS;0;6;6;0;2024-12-07;218;2025-07-02;Preñada;MN;0;207;2026-04-13;508
14;001482130;4-07-037;138;11.5;11a 06m 07d;VP;233;7;7;1;2025-06-17;126;2025-10-02;Preñada;MN;0;107;2026-07-14;360
15;001484078;4-08-008;138;11.5;11a 06m 01d;VP;39;7;7;0;2025-12-28;0;;Vacía;;0;39;;544
16;001484104;4-08-034;137;11.5;11a 05m 16d;VP;66;6;6;0;2025-12-01;0;;Vacía;;0;66;;546
17;001484105;4-08-035;137;11.5;11a 05m 16d;VP;58;7;7;1;2025-12-09;0;;Vacía;;0;58;;402
18;001738142;4-10-021;135;11.3;11a 03m 14d;VP;74;6;6;0;2025-11-23;0;;Vacía;;0;74;;524
19;001738164;4-11-013;134;11.2;11a 02m 23d;VS;0;6;6;0;2024-10-05;189;2025-07-31;Preñada;MN;0;299;2026-05-12;416
20;001738194;4-11-043;134;11.2;11a 02m 06d;VP;310;7;7;0;2025-04-01;129;2025-09-29;Preñada;MN;0;181;2026-07-11;376
21;001738252;4-12-047;133;11.1;11a 01m 14d;VP;211;6;6;0;2025-07-09;159;2025-08-30;Preñada;MN;0;52;2026-06-11;401
