PLASENCIA  TORRES  S,A;;;;;;;;;
MOVIMIENTO DE GANADO BOVINO ENERO - DICIEMBRE -2026;;;;;;;;;
No.;Clase De;AÑO;NACIMIEN;COMPRAS;MUERTES;VENTAS;TRANFERENCIA CLASE;;EXITENCIA
;;INICIAL;TOS;;;;SALIDA;ENTREDA;F I N A L
;;31/12/2024;(+);(+);(-);(-);(-);(+);31/12/2025
HATO REPRODUCTIVO;;;;;;;;;
1;Vacas  Paridas;681;;;;;;49;730
2;Vacas Secas;324;;;;;49;;275
3;Novilla Vientre;281;;;1;;;;280
4;Hembras Descarte;0;;;;;;;0
SUB - TOTAL;;1286;0;0;1;0;49;49;1285
GANADO BOVINO MENOR;;;;;;;;;
5;Crías Machos;292;36;;1;;63;;264
6;Crías Hembras;388;22;;;;;1;411
7;Hembras Levante;458;;;2;63;;;393
SUB - TOTAL;;1138;58;0;3;63;63;1;1068
GANADO MACHOS;;;;;;;;;
8;Novillos;43;;;;72;;67;38
9;Novillos Comprados;0;;;;;;;0
10;Toros /Reproductores;72;;;;;;;72
11;Toretes /Reproductores;9;;;;;;;9
12;Bueyes;14;;;;;;;14
SUB - TOTAL;;138;0;0;0;72;0;67;133
;;;;;;;;;
TOTAL GENERAL;;2562;58;0;4;135;112;117;2486
