PLASENCIA   TORRES   S,A;;;;;;;;
FECHA DE CORTE AL :  ESTELI  28 FEBRERO DEL 2026;;;;;;;;
INVENTARIOS DE GANADO BOVINO > FINCAS DE ESTELI;;;;;;;;
Sexo / Categoría;Existencia;E  N  T  R  A  D  A  S;;;S  A  L  I  D  A  S;;;Existencia
;Inicial;Compras;Nacimientos;Traslado;Ventas;Muertos;Traslado;Final
MACHOS;;;;;;;;
-Novillos;16;;;;;;;16
-Novillos Comp.;0;;;;;;;0
-Cría Machos;136;;4;;;1;;139
-Reproductores;47;;;;;;;47
-Toretes Reproduct;9;;;;;;;9
-Bueyes;14;;;;;;;14
SUB - TOTAL;222;0;4;0;0;1;0;225
HEMBRAS > Adultas;;;;;;;;
-Vacas Paridas;307;;;7;;1;;313
-Vacas Secas;136;;;;;;7;129
-Animales Descate;0;;;;;;;0
-Nov. Vientre;137;;;;;;;137
SUB - TOTAL;580;0;0;7;0;1;7;579
HEMBRAS > Menores;;;;;;;;
-Crías Hembras;171;;3;;;;;174
-Hembras Levante;271;;;;;;;271
SUB - TOTAL;442;0;3;0;0;0;0;445
;;;;;;;;
TOTAL > ESTELI;1244;0;7;7;0;2;7;1249
INVENTARIOS DE GANADO BOVINO > FINCAS DE JALAPA;;;;;;;;
Sexo / Categoría;Existencia;E  N  T  R  A  D  A  S;;;S  A  L  I  D  A  S;;;Existencia
;Inicial;Compras;Nacimientos;Traslado;Ventas;Muertos;Traslado;Final
MACHOS;;;;;;;;
-Novillos;31;;;63;72;;;22
-Cría Machos;190;;;;;1;63;126
-Reproductores;25;;;;;;;25
-Toretes Reproduct;0;;;;;;;0
SUB - TOTAL;246;0;0;63;72;1;63;173
HEMBRAS > Adultas;;;;;;;;
-Vacas Paridas;428;;;1;;;;429
-Vacas Secas;134;;;;;;1;133
-Animales Descarte;0;;;;;;;0
-Nov. Vientre;143;;;;;;;143
SUB - TOTAL;705;0;0;1;0;0;1;705
HEMBRAS > Menores;;;;;;;;
-Crías Hembras;238;;1;;;;;239
-Hembras Levante;122;;;;;;;122
SUB - TOTAL;360;0;1;0;0;0;0;361
;;;;;;;;
TOTAL > JALAPA;1311;0;1;64;72;1;64;1239
;;;;;;;;
TOTAL ESTELI Y JALAPA;2555;0;8;71;72;3;71;2488
