"PLASENCIA TORRES   S,A   "" PLATOR S,A""";;;;;;;;;;;;;;
INFORME  DE  MORTALIDAD  DEL  MES  FEBRERO 2026;;;;;;;;;;;;;;
;M  U  E  R  T  E  S  -   A  Ñ  O   -  2  0  2  5;;;;;;;M  U  E  R  T  E  S  -   A  Ñ  O   -  2  0  2  6;;;;;;
F  I  N  C  A;Masa;C  R  I  A   S;;GANADO;TOTAL;PORCENT.;;Masa;C  R  I  A   S;;GANADO;TOTAL;PORCENT.;VARIACION
;Ganadera;Machos;Hembras;ADULTOS;Muertes;%;;Ganadera;Machos;Hembras;ADULTOS;Muertes;%;2025-2026
El Castillo;184;0;0;0;0;0;;9;0;0;0;0;0;0
;;;;;;;;;;;;;;
Las Cuchillas;129;0;0;2;2;0.015503875968992248;;229;0;0;0;0;0;-2
;;;;;;;;;;;;;;
Las Guayabas;180;0;0;0;0;0;;4;0;0;0;0;0;0
;;;;;;;;;;;;;;
Los Carbonales;325;0;1;0;1;0.003076923076923077;;538;0;0;1;1;0.0018587360594795538;0
;;;;;;;;;;;;;;
Los Chaguites;135;0;0;1;1;0.007407407407407408;;46;0;0;0;0;0;-1
;;;;;;;;;;;;;;
Monte Fresco;337;1;0;0;1;0.002967359050445104;;423;1;0;2;3;0.0070921985815602835;2
;;;;;;;;;;;;;;
SUB - TOTAL;1290;1;1;3;5;0.003875968992248062;;1249;1;0;3;4;0.0032025620496397116;-1
;;;;;;;;;;;;;;
PRIMERO MAYO;1276;3;2;2;7;0.0054858934169279;;1239;1;0;1;2;0.0016142050040355124;-5
;;;;;;;;;;;;;;
SUB - TOTAL;1276;3;2;2;7;0.0054858934169279;;1239;1;0;1;2;0.0016142050040355124;-5
;;;;;;;;;;;;;;
TOTAL GENERAL;2566;4;3;2;12;0.004676539360872954;;2488;2;0;4;6;0.002411575562700965;-6
