"PLASENCIA TORRES   S,A   "" PLATOR S,A""";;;;;;;;;;;;;;
INFORME  DE  MORTALIDAD  DEL  MES  ENERO 2026;;;;;;;;;;;;;;
;M  U  E  R  T  E  S  -   A  Ñ  O   -  2  0  2  5;;;;;;;M  U  E  R  T  E  S  -   A  Ñ  O   -  2  0  2  6;;;;;;
F  I  N  C  A;Masa;C  R  I  A   S;;GANADO;TOTAL;PORCENT.;;Masa;C  R  I  A   S;;GANADO;TOTAL;PORCENT.;VARIACION
;Ganadera;Machos;Hembras;ADULTOS;Muertes;%;;Ganadera;Machos;Hembras;ADULTOS;Muertes;%;2025-2026
El Castillo;210;0;0;0;0;0;;9;0;0;0;0;0;0
;;;;;;;;;;;;;;
Las Cuchillas;132;0;0;2;2;0.015151515151515152;;224;0;0;0;0;0;-2
;;;;;;;;;;;;;;
Las Guayabas;177;0;0;0;0;0;;4;0;0;0;0;0;0
;;;;;;;;;;;;;;
Los Carbonales;334;0;1;0;1;0.0029940119760479044;;537;0;0;1;1;0.00186219739292365;0
;;;;;;;;;;;;;;
Los Chaguites;80;0;0;0;0;0;;46;0;0;0;0;0;0
;;;;;;;;;;;;;;
Monte Fresco;359;0;0;0;0;0;;424;0;0;1;1;0.0023584905660377358;1
;;;;;;;;;;;;;;
SUB - TOTAL;1292;0;1;2;3;0.0023219814241486067;;1244;0;0;2;2;0.001607717041800643;-1
;;;;;;;;;;;;;;
PRIMERO MAYO;1305;1;1;1;3;0.0022988505747126436;;1307;0;0;0;0;0;-3
;;;;;;;;;;;;;;
SUB - TOTAL;1305;1;1;1;3;0.0022988505747126436;;1307;0;0;0;0;0;-3
;;;;;;;;;;;;;;
TOTAL GENERAL;2597;1;2;1;6;0.0023103581055063534;;2551;0;0;2;2;0.0007840062720501764;-4
