ES-001 - PRIMERO DE MAYO
Sistematización de Hatos
Software GANADERO SG
Finca: Primero de mayo
Palpación de vacas 27-28/Enero 2026
Hojas incluidas: Vacas, Novillas vientre
Hoja;N;Número;Nombre;E.Mes;E. Años;Edad Año - Mes;EA;DPar;#C;#P;# Abortos;F.Últ.Par;Gest.;F. Preñ;Estado reprod.;TPreñez;DS;D.Ab;F. P. P;UIEP
Vacas;1;000695729;3-12-019;146;12.2;12a 01m 26d;VS;0;8;8;0;2025-01-16 00:00:00;182;2025-08-07;Preñada;IA;182;203;2026-05-19;1901-03-25
Vacas;2;000695744;3-12-034;145;12.1;12a 01m 17d;VP;367;7;7;0;2025-02-03 00:00:00;99;2025-10-29;Preñada;MN;0;268;2026-08-10;1900-11-30
Vacas;3;000695770;3-12-060;145;12.1;12a 01m 06d;VP;391;6;6;0;2025-01-10 00:00:00;159;2025-08-30;Preñada;MN;0;232;2026-06-11;1901-03-29
Vacas;4;000695803;4-01-018;144;12.1;12a 00m 25d;VP;93;6;6;0;2025-11-04 00:00:00;0;-   -;Vacía;;0;93;-   -;1901-01-01
Vacas;5;000696530;4-01-035;144;12;12a 00m 11d;VP;45;7;7;0;2025-12-22 00:00:00;0;-   -;Vacía;;0;45;-   -;1901-02-06
Vacas;6;000696533;4-01-038;144;12;12a 00m 05d;VP;14;7;7;0;2026-01-22 00:00:00;0;-   -;Vacía;;0;14;-   -;1901-03-05
Vacas;7;000696565;4-02-009;144;12;11a 11m 27d;VP;67;7;7;0;2025-11-30 00:00:00;0;-   -;Vacía;;0;67;-   -;1901-03-31
Vacas;8;000696576;4-02-020;143;12;11a 11m 20d;VP;237;7;7;0;2025-06-13 00:00:00;99;2025-10-29;Preñada;MN;0;138;2026-08-10;1900-11-21
Vacas;9;000696619;4-03-002;143;11.9;11a 10m 28d;VS;0;6;6;1;2025-06-18 00:00:00;99;2025-10-29;Preñada;MN;0;133;2026-08-10;1901-04-10
Vacas;10;001482016;4-04-038;141;11.8;11a 09m 05d;VP;239;6;6;0;2025-06-11 00:00:00;0;-   -;Vacía;;0;239;-   -;1902-01-24
Vacas;11;001482026;4-05-009;140;11.7;11a 08m 23d;VP;94;6;6;0;2025-11-03 00:00:00;0;-   -;Vacía;;0;94;-   -;1901-05-17
Vacas;12;001482085;4-06-036;139;11.6;11a 07m 11d;VP;53;7;7;0;2025-12-14 00:00:00;0;-   -;Vacía;;0;53;-   -;1901-02-10
Vacas;13;001482122;4-07-029;138;11.5;11a 06m 10d;VS;0;6;6;0;2024-12-07 00:00:00;218;2025-07-02;Preñada;MN;0;207;2026-04-13;1901-05-22
Vacas;14;001482130;4-07-037;138;11.5;11a 06m 07d;VP;233;7;7;1;2025-06-17 00:00:00;126;2025-10-02;Preñada;MN;0;107;2026-07-14;1900-12-25
Vacas;15;001484078;4-08-008;138;11.5;11a 06m 01d;VP;39;7;7;0;2025-12-28 00:00:00;0;-   -;Vacía;;0;39;-   -;1901-06-27
Vacas;16;001484104;4-08-034;137;11.5;11a 05m 16d;VP;66;6;6;0;2025-12-01 00:00:00;0;-   -;Vacía;;0;66;-   -;1901-06-29
Vacas;17;001484105;4-08-035;137;11.5;11a 05m 16d;VP;58;7;7;1;2025-12-09 00:00:00;0;-   -;Vacía;;0;58;-   -;1901-02-05
Vacas;18;001738142;4-10-021;135;11.3;11a 03m 14d;VP;74;6;6;0;2025-11-23 00:00:00;0;-   -;Vacía;;0;74;-   -;1901-06-07
Vacas;19;001738164;4-11-013;134;11.2;11a 02m 23d;VS;0;6;6;0;2024-10-05 00:00:00;189;2025-07-31;Preñada;MN;0;299;2026-05-12;1901-02-19
Vacas;20;001738194;4-11-043;134;11.2;11a 02m 06d;VP;310;7;7;0;2025-04-01 00:00:00;129;2025-09-29;Preñada;MN;0;181;2026-07-11;1901-01-10
Vacas;21;001738252;4-12-047;133;11.1;11a 01m 14d;VP;211;6;6;0;2025-07-09 00:00:00;159;2025-08-30;Preñada;MN;0;52;2026-06-11;1901-02-04
Vacas;22;001738269;4-12-064;133;11.1;11a 01m 05d;VS;0;5;5;0;2025-06-23 00:00:00;159;2025-08-30;Preñada;MN;0;68;2026-06-11;1900-12-01
Vacas;23;001738270;4-12-065;133;11.1;11a 01m 05d;VS;0;4;4;0;2024-07-29 00:00:00;327;2025-03-15;Preñada;MN;0;229;2025-12-25;1901-03-03
Vacas;24;001738292;5-01-015;133;11.1;11a 00m 26d;VP;225;5;5;0;2025-06-25 00:00:00;189;2025-07-31;Preñada;MN;0;36;2026-05-12;1901-05-17
Vacas;25;001738320;5-01-043;132;11;11a 00m 06d;VP;227;5;5;0;2025-06-23 00:00:00;99;2025-10-29;Preñada;MN;0;128;2026-08-10;1902-01-31
Vacas;26;001738369;9-05-031;200;16.7;16a 08m 20d;VP;241;12;12;0;2025-06-09 00:00:00;129;2025-09-29;Preñada;MN;0;112;2026-07-11;1901-11-22
Vacas;27;001738917;5-02-007;132;11;11a 00m 01d;VP;34;6;6;0;2026-01-02 00:00:00;0;-   -;Vacía;;0;34;-   -;1901-01-29
Vacas;28;001738939;5-02-029;131;11;10a 11m 20d;VP;240;6;6;0;2025-06-10 00:00:00;189;2025-07-31;Preñada;MN;0;51;2026-05-12;1901-03-17
Vacas;29;001738942;5-02-032;131;11;10a 11m 20d;VS;0;5;5;0;2024-12-21 00:00:00;159;2025-08-30;Preñada;MN;0;252;2026-06-11;1901-02-17
Vacas;30;002084650;5-03-013;130;10.9;10a 10m 15d;VS;0;5;5;0;2025-01-05 00:00:00;0;-   -;Vacía;;0;396;-   -;1901-07-05
Vacas;31;002084689;5-04-030;129;10.8;10a 09m 13d;VP;248;6;6;0;2025-06-02 00:00:00;0;-   -;Vacía;;0;248;-   -;1901-08-09
Vacas;32;002084706;5-04-047;129;10.8;10a 09m 10d;VS;0;5;5;0;2024-11-02 00:00:00;182;2025-08-07;Preñada;IA;182;278;2026-05-19;1901-05-25
Vacas;33;002084732;5-05-009;129;10.7;10a 08m 25d;VP;33;5;5;0;2026-01-03 00:00:00;0;-   -;Vacía;;0;33;-   -;1901-03-02
Vacas;34;002084752;5-05-029;128;10.7;10a 08m 21d;VS;0;4;4;1;2024-06-13 00:00:00;69;2025-11-28;Preñada;MN;0;533;2026-09-09;1901-07-03
